Subject,Chapter_Number,Chapter_Name,Tasks,Batch
MATHS,21,HIGHT & DISTANCE,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,22,GRAPHICAL REPRESENTATION,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
MATHS,23,PROBABILITY,MAKE SUMMARY OF CHAPTER|SOLVED EXAMPLE FROM TEXTBOOK|BOOK BACK QUESTIONS|SOLVE MISCELLENOUS AND BOARD QUESTIONS|SOLVE TEST PAPER 1|SOLVE TEST PAPER 2|SOLVE TEST PAPER 3|SOLVE TEST PAPER 4|SOLVE TEST PAPER 5|DO ALL MCQ AND AR FROM D90|SOLVE MCQ PRACTISE PAPER,ICSE 10
BIOLOGY,2,"STRUCTURE OF CHROMOSOMES,CELL CYCLE AND CELL DIVISION","textbook theory reading|revision (shortcut notes)|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,3,GENETICS,"CLASS NOTES|REVISE DEFINITIONS|Practice Monohybrid & dihybrid cross|PRACTICE WORD PROBLEMS (sex linked inheritence)|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,4,ABSORPTION BY ROOTS,"textbook theory reading|revision (shortcut notes)|SOLVE GIVE REASONS|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,5,TRANSPIRATION,"textbook theory reading|REVISE EXPERIMENTS|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,6,PHOTOSYNTHESIS,"textbook theory reading|REVISE EXPERIMENTS|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,7,CHEMICAL COORDINATION IN PLANTS,"textbook theory reading|Revise activities|revise textbook markings|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,8,THE CIRCULATORY SYSTEM,"textbook theory reading|revision (shortcut notes)|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,9,THE EXCRETORY SYSTEM,"textbook theory reading|REVISE CLASS NOTES|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,10,THE NERVOUS SYSTEM,"textbook theory reading|Textbook markings|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,11,SENSE ORGANS,"textbook theory reading|revision (shortcut notes)|DIAGRAM PRACTICE|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,12,THE ENDOCRINE SYSTEM,"textbook theory reading|revision (shortcut notes)|revise textbook markings|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,13,THE REPRODUCTIVITY SYSTEM,"textbook theory reading|revise textbook markings|Diagrams & process practice|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,14,HUMAN EVOLUTION,"textbook theory reading|revise textbook markings|SOLVE PYQ|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,15,POPULATION- THE INCREASING NUMBERS & RISING PROBLEMS,"textbook theory reading|revise textbook markings|SOLVE PYQ|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
BIOLOGY,16,POLLUTION - A RISING ENVIRONMENTAL PROBLEM,"textbook theory reading|revise textbook markings|SOLVE PYQ|TEXTBOOK QUESTIONS|DREAM 90 LWS|DREAM 90 MCQ'S, A&R, OBJECTIVES|PYQ - OBJECTIVE & SUBJECTIVE|DREAM 90 - SA - 20 MKS|RECTIFY MISTAKES & FINAL REVISION",ICSE 10
LANGUAGE,1,EMAIL & NOTICE WRITING,Write down Board Approved Format|Write down 2 Specimens and get it checked|Write 5 topics from Dream 90 to build confidence|Solve the questions from Board Papers|Solve similar questions from Total English|Solve all worksheets given by teacher,ICSE 10
LANGUAGE,2,FORMAL & INFORMAL LETTER WRITING,Write down Board Approved Format|Write down 2 Specimens and get it checked|Write 5 topics from Dream 90 to build confidence|Solve the questions from Board Papers|Solve similar questions from Total English|Solve all worksheets given by teacher,ICSE 10
LANGUAGE,3,SUBJECT VERB,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,4,PREPOSITION,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,5,SYNTHESIS,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,6,TRANSFORMATION OF SENTENCES,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,7,COMPREHENSION,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,8,DEGREES  OF COMPARISON,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve a mixed bag question set from Prelim Papers,ICSE 10
LANGUAGE,9,STORY WRITING,Write down Board Approved Format|Write down 2 Specimens and get it checked|Solve topics from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,10,ARGUMENTATIVE ESSAY,Write down Board Approved Format|Write down 2 Specimens and get it checked|Solve topics from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,11,DESCRIPTIVE ESSAY,Write down Board Approved Format|Write down 2 Specimens and get it checked|Solve topics from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,12,NARRATIVE ESSAY,Write down Board Approved Format|Write down 2 Specimens and get it checked|Solve topics from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,13,PICTURE COMPOSTION,Write down Board Approved Format|Write down 2 Specimens and get it checked|Solve topics from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,14,ARTICLES,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,15,TENSES,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
LANGUAGE,16,GRID WRITNG,Understand the topic in class|Solve worksheets given by the teacher on the topic|Solve questions from Dream 90|Solve similar questions from Board Papers|Solve similar questions from Total English|Solve Questions from Prelim Papers,ICSE 10
